smoke, eyes, sponge, exchange, balance, clam, summer, desk, girls, pancake, bit, stitch, peace, insect, owner, sleep, thought
efe, [, 1, 1, 0, 0, 0, 22, 75, 1, cough, -0.001696, 26, 904, 39.937500, -51393.179688, 1
65, 8, 0, 0, 1, 0, 87, 3, 10430, 0, cork, 2.120901, -28, 760, 0.125000, -0.208008, 0
6, i, 0, 0, 1, 1, 218, -62, 1218, 1, base, 0.000407, 0, 4, 0.000000, -0.014648, 0
0, ., 0, 1, 0, 1, 0, 4, 122, 1, band, -0.342740, 105, 17012, -46335.937500, -60.001953, 1
2486, F, 1, 1, 0, 0, 1, -12, 23, 0, shoes, 0.000313, 31, 915, 0.000000, 981.476562, 1
3b, 5, 0, 0, 0, 1, 30217, -4, 28155, 0, board, 0.001415, 8, 61657, 4.437500, -0.842773, 0
0, 5, 1, 0, 0, 0, 1, -38, 6086, 0, pencil, 0.000204, 5, 0, -10257.875000, 0.000000, 1
0, ., 0, 0, 1, 1, 0, 42, 3, 1, band, -0.342740, 105, 1, -46335.937500, 0.003906, 0
1, X, 0, 0, 0, 1, 19, -1, 1, 1, zoo, 0.030247, -11, 1503, -23.812500, -1.132812, 1
14f2, x, 1, 0, 0, 0, 5295, 47, 4, 1, border, 0.000000, -16, 11682, -553.500000, -243.533203, 1
45, k, 0, 1, 1, 1, 15774, 6, 127, 1, bottle, 0.005371, -1, 28800, 9333.187500, 996.945312, 1
0, B, 1, 1, 1, 0, 1388, -41, 8322, 0, birth, -0.000894, 1, 2, -6.250000, 171.197266, 1
a97, :, 1, 0, 1, 0, 51837, -1, 131, 0, porter, -0.001602, -31, 250, -2103.937500, 0.002930, 1
fd, u, 0, 1, 0, 0, 1, 0, 342, 1, yoke, -0.000039, 105, 30, 68382.687500, -0.175781, 0
84, o, 0, 0, 1, 1, 43922, -26, 0, 1, mark, -0.000002, 0, 2237, 0.750000, -0.001953, 1
19, w, 0, 0, 0, 0, 5500, -108, 3988, 0, lead, 0.000107, -8, 823, 15479.312500, 22547.675781, 1
1fc7, _, 1, 1, 1, 1, 2, -31, 1, 1, flower, 0.092187, -1, 2720, 125.062500, -0.786133, 1
78, ^, 1, 0, 0, 1, 3698, 122, 2391, 0, polish, 0.000363, 0, 2470, 0.187500, -0.162109, 1
5, |, 1, 0, 1, 0, 41, 31, 75, 0, sheet, -10.594723, 0, 0, -0.062500, 0.008789, 1
0, &, 1, 0, 0, 0, 114, 6, 3227, 1, tree, 0.000000, 53, 54296, -40931.187500, 149.550781, 1
3, f, 1, 1, 0, 1, 518, 78, 1463, 1, work, -0.000049, 48, 9, -50.062500, 0.428711, 0
0, 7, 1, 1, 1, 0, 481, 0, 38, 0, coach, 48.135567, -14, 15, -0.500000, 0.051758, 1
265, I, 0, 0, 0, 1, 2, 0, 18502, 0, wheel, -55.962780, 0, 0, -0.062500, -4529.175781, 1
a, t, 1, 1, 0, 0, 2891, 40, 113, 0, light, 29.779715, 61, 3805, 1019.187500, 0.004883, 1
29, _, 0, 0, 0, 1, 2, -1, 0, 0, grip, 0.005885, -1, 0, -8356.562500, -0.098633, 0
4a, |, 0, 0, 0, 0, 4934, 11, 20819, 0, test, -0.000058, 0, 0, -0.062500, -29768.562500, 1
1, &, 1, 0, 1, 1, 586, 2, 189, 1, bubble, 0.000000, 6, 2, -0.125000, 2.557617, 1
d, m, 1, 0, 1, 1, 1990, -1, 4673, 1, profit, -0.000028, -21, 3, 184984.687500, 14260.642578, 1
0, F, 1, 0, 0, 1, 280, 22, 1066, 1, record, -0.000001, 2, 0, -12.125000, 0.135742, 1
184, E, 0, 1, 0, 0, 115, 1, 974, 0, whip, -0.000736, -106, 24, 0.125000, 413.222656, 0
18, !, 1, 1, 1, 1, 26603, -10, 5, 0, prison, 0.000772, 17, 32274, 100.562500, 707.811523, 1
1ef9, 1, 1, 1, 0, 1, 0, -10, 477, 1, drawer, -0.008304, 7, 32647, 5.125000, 513.755859, 0
3b, I, 0, 1, 1, 1, 30217, -4, 2597, 0, board, -0.000002, 8, 68, 4.437500, -0.842773, 0
7a5, }, 1, 1, 1, 0, 1324, 3, 4372, 1, rate, 3.147452, 0, 7591, -97.000000, 649.305664, 0
c1, @, 0, 1, 0, 0, 84, -15, 747, 1, cellar, 1.000000, -2, 3993, -108.562500, -28405.392578, 1
a, #, 0, 0, 0, 1, 3, -42, 0, 1, steam, -0.113140, 30, 3252, 1.312500, -0.001953, 0
3, |, 1, 1, 0, 0, 4906, 21, 129, 1, expert, 0.000000, -2, 118, 42598.062500, 1.036133, 0
6c, |, 0, 0, 1, 1, 1063, -4, 41, 0, yam, -5.617412, -28, 760, 118986.875000, 7322.884766, 0
92, y, 1, 1, 0, 1, 3, -42, 16143, 0, sheet, -0.008878, -8, 3978, 30273.875000, -21.444336, 0
19, 5, 0, 1, 0, 0, 5, -4, 7, 1, face, -0.622940, -4, 989, -19437.750000, 39444.527344, 0
2bf, I, 1, 0, 1, 1, 14, 53, 1014, 1, school, 0.000000, 6, 7524, 21.750000, 0.237305, 0
3, %, 0, 0, 1, 1, 1682, -3, 245, 0, bomb, 0.012954, 5, 0, 0.187500, -13.680664, 1
32, a, 0, 0, 0, 0, 2835, 68, 2170, 1, dock, 0.000005, 0, 304, -0.062500, 1409.593750, 1
0, x, 1, 1, 1, 0, 0, 29, 7384, 1, mitten, -0.041797, 8, 31676, -193.562500, -3413.037109, 1
f, w, 0, 1, 0, 1, 0, -127, 1122, 0, silver, 0.000003, -106, 8, -875.062500, 0.004883, 1
38a1, t, 1, 0, 1, 0, 14, -8, 1, 0, change, -0.000001, 0, 1, -0.125000, -0.010742, 0
1d, h, 1, 0, 1, 1, 5381, 1, 0, 0, rifle, -0.000002, 22, 7, 70.125000, -30.917969, 1
265, v, 0, 1, 0, 0, 3, -2, 4167, 0, change, -17.373379, -1, 138, 1773.375000, -0.852539, 1
e, $, 1, 1, 0, 0, 61, -1, 0, 1, tail, -0.000012, -115, 20368, 0.687500, 29.845703, 1
e6a, 3, 1, 1, 0, 0, 11, 0, 7262, 0, houses, 0.001858, -9, 2229, -0.250000, 2.976562, 0
1d, h, 0, 1, 1, 1, 1, -1, 18055, 1, size, -0.000001, -2, 1, 220.312500, -315.918945, 1
1ef9, 1, 1, 1, 1, 1, 0, 0, 1020, 0, drawer, 0.007524, 7, 6362, 5.125000, -741.318359, 0
e6a, &, 1, 1, 1, 1, 11, 12, 5, 0, houses, 0.001858, -9, 2229, -0.250000, 2.976562, 1
2, $, 1, 1, 1, 0, 6, -55, 14, 0, degree, -0.004312, -2, 7, 2.750000, 2.786133, 1
33b, X, 1, 0, 1, 1, 3, 0, 7078, 0, tank, 0.387320, -68, 25, -256441.125000, 468.770508, 1
8f, =, 0, 1, 0, 1, 43922, -113, 0, 0, home, 0.000053, 2, 6496, 60732.750000, -0.306641, 1
270, _, 1, 0, 0, 0, 33, 58, 101, 1, market, 55.143051, 6, 4, 35.000000, -3.560547, 1
c, P, 0, 0, 0, 0, 31914, 5, 1893, 1, paste, 0.018722, -2, 38460, 0.000000, 0.001953, 0
1, w, 0, 0, 0, 1, 16, -59, 0, 1, pig, -0.000000, -2, 6633, 0.875000, 3022.104492, 1
3d, E, 1, 1, 1, 0, 13350, 22, 2, 1, toad, 0.005371, -9, 0, 6.562500, 2.174805, 1
12, ?, 0, 0, 1, 1, 60, 7, 1078, 0, thumb, -0.000005, 0, 10323, -8.812500, 43.935547, 0
e01, 1, 1, 1, 1, 0, 3448, 37, 645, 0, pets, -0.009825, -9, 30, 0.062500, -1.956055, 1
35, (, 0, 1, 1, 1, 33000, 0, 0, 0, lunch, -0.101597, 5, 297, -5.000000, -7891.415039, 0
0, I, 0, 0, 1, 0, 80, -32, 716, 1, beast, 13.517833, -63, 12, -117259.437500, 0.144531, 1
6a4, b, 1, 1, 1, 1, 52, 3, 1478, 1, nose, -0.000005, -15, 100, -3251.000000, 43.957031, 1
933, t, 1, 0, 1, 1, 1, 10, 8970, 0, fifth, -0.000036, 30, 48, 17337.062500, -0.006836, 0
15, p, 1, 1, 1, 0, 2, 1, 20798, 0, legs, -1.859488, -128, 3853, 511.687500, 0.003906, 1
933, :, 1, 0, 0, 1, 2, 0, 6453, 0, fifth, -0.005678, -19, 250, 438.750000, -0.006836, 1
1d, ], 0, 0, 0, 0, 1502, 10, 13, 0, spark, -1.261430, 0, 1269, 230.625000, 0.001953, 1
0, I, 0, 0, 1, 1, 80, 42, 46, 1, band, -0.342740, 105, 1, -46335.937500, 0.003906, 0
1c51, ), 1, 1, 0, 1, 5, -59, 0, 0, pig, -0.000015, -7, 990, -0.875000, -1986.663086, 1
0, ?, 0, 0, 0, 1, 3, -4, 2, 1, income, -0.002858, 7, 37, -262126.437500, -477.691406, 1
6, i, 1, 0, 0, 1, 218, -62, 7, 1, base, 0.029487, -8, 14, 0.000000, 0.008789, 0
3d, ;, 0, 0, 1, 1, 13350, 0, 127, 0, toad, 0.005371, -1, 28800, 6.562500, 3.724609, 1
2486, F, 1, 1, 0, 1, 1, -1, 27935, 0, shoes, -0.631200, 31, 2, 0.000000, 981.476562, 1
72, a, 0, 0, 1, 0, 201, 113, 3000, 0, motion, -0.000000, -5, 0, 3.312500, 0.005859, 1
e, <, 0, 1, 1, 1, 19950, 0, 163, 0, tail, 0.003678, 0, 398, -45825.062500, -0.000977, 1
0, 5, 0, 0, 1, 1, 15551, 43, 15074, 1, snail, -0.304567, 0, 106, -1.500000, 1478.567383, 0
1b47, v, 0, 1, 1, 1, 390, -2, 2, 1, book, 0.000002, -3, 10953, 10062.062500, -0.002930, 0
6f3, v, 0, 0, 1, 1, 1612, 0, 505, 1, glue, 0.005031, 0, 63575, 38946.625000, 3964.083008, 1
2, 9, 0, 1, 1, 0, 3409, 11, 11, 1, title, 0.007654, 0, 25660, -6.750000, 0.333984, 1
77, o, 1, 0, 1, 0, 101, -7, 1, 0, join, -254.114685, -1, 4445, 3.312500, -4.901367, 1
1, &, 1, 1, 0, 0, 10, -15, 4, 1, bubble, 0.000113, 8, 2, -25685.500000, 2.557617, 0
3, R, 1, 1, 1, 1, 56510, -31, 1, 1, pocket, 0.000024, -1, 23594, 0.625000, 0.000977, 0
0, A, 0, 1, 0, 0, 31321, -32, 13, 0, beast, -0.000721, -1, 6115, -12.000000, -0.037109, 0
0, x, 1, 0, 0, 1, 0, 29, 7384, 1, mitten, -0.041797, 6, 1, -193.562500, -3413.037109, 0
2, k, 0, 1, 1, 0, 57, 5, 37, 1, mitten, 0.447214, -1, 4041, -19.312500, -47409.468750, 0
345, z, 1, 0, 0, 0, 92, -26, 2995, 0, robin, -0.000629, -6, 150, -5384.250000, 14.654297, 0
153, P, 0, 0, 0, 1, 50, 1, 30286, 1, police, -0.000009, 26, 21, -0.187500, -0.093750, 0
1166, n, 0, 1, 0, 1, 6, -2, 128, 1, trees, 0.022135, 14, 1591, -345.000000, 0.038086, 1
265, &, 0, 1, 0, 0, 33, -4, 43, 0, wheel, -55.962780, 0, 0, 35.000000, -3.560547, 1
29, I, 1, 1, 1, 1, 2, 85, 565, 0, grip, 0.088452, 0, 17, -245055.125000, 22.401367, 0
7e, &, 1, 1, 0, 1, 0, -2, 114, 0, place, 0.000159, 0, 1056, -4317.625000, -693.791016, 1
0, #, 1, 0, 0, 0, 20563, -7, 0, 1, pencil, 0.000204, 5, 664, -281.375000, -0.963867, 1
0, 5, 0, 0, 1, 0, 15551, -1, 15074, 1, snail, -0.304567, 0, 58032, -1.500000, -60.773438, 1
3d, 5, 1, 0, 1, 1, 1692, -1, 192, 0, bike, 0.054441, 63, 0, 4.437500, -0.831055, 0
1, &, 1, 1, 1, 1, 1639, -59, 9, 1, yoke, 0.000000, 37, 6633, 16.937500, -0.009766, 1
79, ^, 1, 1, 1, 1, 3698, -2, 3, 0, root, 0.000363, -3, 2470, -4317.625000, 17.429688, 1
3, ], 0, 1, 1, 1, 56, 3, 16, 0, suit, 1.708596, -3, 0, 1.125000, -19.735352, 0
efe, [, 0, 0, 0, 0, 0, 22, 75, 0, cough, -0.008689, -7, 13535, 352.187500, -0.000000, 0
a, g, 0, 1, 0, 1, 1, 15, 0, 0, light, -0.000004, 3, 0, 0.000000, 0.001953, 0
29, I, 0, 1, 1, 1, 2, 85, 146, 0, grip, -0.000006, 0, 17, -245055.125000, 48.062500, 0
0, i, 0, 1, 1, 1, 114, -6, 8, 0, tree, 0.000095, 14, 11530, -40931.187500, -14.475586, 0
366, ), 0, 0, 1, 0, 15561, 61, 2, 0, ice, 0.912350, 0, 14, 30831.500000, 424.975586, 0
5, |, 1, 1, 1, 1, 3, 39, 30, 1, class, -1.738416, 0, 128, 17.687500, -2286.391602, 0
15, p, 1, 1, 1, 0, 2, 0, 20798, 0, legs, -0.000924, -128, 3853, 511.687500, -122.853516, 1
31b, G, 1, 1, 1, 0, 1182, -3, 5, 1, kitten, -0.000000, -15, 3626, -0.687500, -55552.710938, 1
9, w, 1, 1, 1, 0, 0, -11, 13, 1, mint, 0.000026, -88, 11580, 0.187500, 5377.115234, 0
38a1, I, 0, 0, 0, 1, 14, -8, 118, 1, change, -0.000001, 0, 14, -0.125000, -0.006836, 0
35, B, 0, 1, 1, 1, 109, 1, 5682, 0, lunch, -0.000039, -12, 297, 66.000000, 0.008789, 0
7f8, /, 0, 0, 0, 1, 59, -2, 514, 1, brain, -0.000001, 3, 960, 0.687500, -492.820312, 1
62, (, 1, 0, 1, 0, 2335, 77, 10430, 1, pain, -4.577743, -4, 88, 256869.500000, 0.000000, 1
f, Q, 0, 1, 0, 0, 0, 59, 1122, 1, silver, -0.000004, -7, 8, -875.062500, 14.600586, 1
0, X, 1, 1, 0, 0, 8, 0, 0, 0, egg, 0.077813, 0, 15, -30.562500, 0.010742, 0
ba, T, 0, 0, 0, 0, 60, -6, 0, 1, need, 0.000000, 6, 82, 1570.062500, -1.102539, 1
6f3, T, 1, 0, 0, 1, 1612, 0, 0, 1, glue, 202.158051, -29, 190, -774.812500, 0.000000, 1
2486, F, 1, 0, 0, 0, 42, -69, 23, 0, shoes, -0.000013, -35, 915, 78066.187500, 4112.504883, 1
0, B, 0, 0, 1, 1, 1388, 0, 8322, 0, birth, -0.201452, 0, 101, 3.437500, 0.005859, 1
153, L, 0, 0, 0, 0, 231, 1, 26, 1, police, -0.000009, -1, 21, -0.187500, -6757.288086, 1
7248, Y, 1, 1, 1, 0, 4, -4, 1, 0, jar, -0.000001, 0, 7, -860.250000, -11445.105469, 1
4e6, H, 1, 0, 0, 1, 2121, -1, 0, 1, cough, -0.000010, -53, 12996, -105792.812500, -8.729492, 1
6, #, 1, 1, 0, 0, 22685, -8, 10, 0, blow, 0.168632, 13, 322, 7586.687500, 0.083984, 0
16e7, Q, 1, 1, 1, 0, 1699, 1, 9399, 1, canvas, -0.000000, -62, 0, -3.125000, -0.006836, 0
1a, Y, 0, 1, 0, 1, 3361, -56, 17847, 1, square, 38.680500, -89, 1102, -4.687500, 0.017578, 0
84, o, 0, 1, 1, 1, 43922, 0, 55, 1, mark, -0.000002, 0, 0, 0.750000, -0.060547, 1
3, o, 0, 1, 0, 0, 35, -1, 12620, 1, rod, -2.239840, 0, 6264, -186851.062500, 0.743164, 1
0, 2, 1, 1, 0, 0, 3, 12, 9, 0, egg, 0.004422, 0, 45755, -262126.437500, 0.010742, 1
fd, t, 0, 1, 1, 1, 10, 19, 19267, 0, yoke, -0.000039, 105, 30, -0.062500, -0.175781, 0
120, ., 0, 0, 0, 1, 652, 3, 2, 1, lamp, 0.980060, 0, 2, -12116.375000, 0.002930, 0
31b, F, 1, 1, 0, 0, 1182, 8, 13, 1, kitten, -0.029470, 8, 4, 3.750000, -0.001953, 1
52d, O, 0, 1, 1, 0, 16, -102, 2, 1, hole, 0.838862, 0, 9430, 1.187500, 1609.796875, 1
29, _, 1, 0, 1, 1, 2, -1, 0, 0, grip, 0.005885, -1, 0, -245055.125000, -0.098633, 0
48, n, 0, 0, 1, 1, 508, -6, 0, 1, farm, -3.169443, -1, 2554, -198.437500, 2.263672, 1
3, %, 0, 0, 1, 1, 1682, 11, 370, 0, bomb, 0.708760, 5, 25660, 0.187500, 0.333984, 1
1db, p, 0, 0, 1, 0, 28443, -8, 209, 0, engine, 0.000000, 1, 44, 1467.187500, 6.227539, 0
3b, D, 0, 1, 1, 1, 316, -4, 2597, 1, board, -0.000002, -2, 9839, 0.000000, -0.842773, 0
1166, n, 0, 1, 0, 1, 6, -2, 128, 1, trees, 0.000331, 14, 1591, -345.000000, -10764.618164, 0
d57, D, 1, 0, 0, 1, 6983, 10, 7709, 1, ink, -0.009825, 0, 0, -1.875000, 0.001953, 1
3, ], 1, 1, 0, 0, 56, -1, 6013, 0, suit, -0.000014, 0, 0, 1.125000, 0.962891, 1
127, H, 0, 0, 0, 0, 15, -60, 4835, 0, duck, 0.112889, 89, 1388, -80448.812500, -33.728516, 0
fd, >, 1, 1, 1, 0, 531, 0, 4498, 0, cause, 0.034609, 4, 43, 11638.375000, 0.293945, 1
1, ^, 0, 1, 1, 0, 433, -2, 27836, 0, need, -2.008272, 7, 1, 0.187500, -0.000977, 0
27e0, V, 1, 0, 1, 1, 57, 0, 23, 0, shape, 0.000055, 59, 29072, 3.500000, 4.071289, 0
a, I, 1, 1, 1, 0, 15, 40, 2, 0, light, -46.979256, 7, 3805, 5566.500000, 0.010742, 1
0, 0, 1, 1, 0, 0, 114, -1, 808, 1, tree, 4.512063, -4, 11530, -40931.187500, 1.630859, 0
0, B, 0, 0, 1, 1, 1388, -33, 8322, 0, birth, -226.165726, 0, 14, 3.437500, -115.672852, 1
12, ?, 0, 0, 1, 1, 60, 92, 4, 0, thumb, 0.000002, 0, 12435, -8.812500, -120.771484, 0
1166, <, 1, 1, 0, 1, 37278, 0, 14, 1, trees, -0.000010, -7, 5227, -553.500000, 0.038086, 1
105f, _, 1, 1, 0, 0, 767, -113, 4625, 1, woman, 0.000001, -78, 0, 1.312500, -13.939453, 1
51, (, 0, 0, 0, 0, 4934, 1, 0, 1, box, -0.000002, 0, 28, -1958.000000, 58.490234, 1
3d1, r, 0, 0, 1, 0, 3, -34, 5, 0, ground, 0.071221, -2, 21, -1.125000, 0.090820, 0
1, =, 1, 0, 0, 0, 0, -1, 4596, 0, month, 0.002387, -20, 7, 2016.187500, 0.166992, 0
79, ^, 1, 0, 1, 1, 3698, 0, 18935, 0, root, 0.000363, -3, 2470, -4317.625000, -4.901367, 1
3, h, 1, 1, 0, 1, 518, -28, 3, 1, work, 1.708596, 0, 0, 1.125000, 0.428711, 0
